model,param_set,scenario,trial_id,n_test,mae,rmse,r2
ExtraTrees,1,modifiable_plus_context,16,7,1007.589721545383,1295.684087149618,-0.33954156636781274
ExtraTrees,1,modifiable_plus_context,17,7,336.75842649660405,382.65119782513506,-0.41960284604813536
ExtraTrees,1,modifiable_plus_context,2,7,871.2650395790979,1033.946076132278,-0.06046895157772836
ExtraTrees,1,modifiable_plus_context,4,16,587.2396409710109,780.9709568594293,0.12670804023829085
ExtraTrees,1,modifiable_plus_context,5,30,654.9343900414586,810.2666966951133,0.3557418473916424
ExtraTrees,1,modifiable_plus_context,6,7,169.59974146825468,193.2939126991975,0.3913802856667161
ExtraTrees,1,modifiable_plus_context,8,8,503.62319837721225,595.7621336512061,0.7248134110447528
ExtraTrees,1,modifiable_plus_context,9,14,1769.557520628909,2105.0586164621436,-0.31220841240797625
ExtraTrees,2,modifiable_plus_context,1,15,892.9015982222301,1056.0383540301018,-2.8281313215552584
ExtraTrees,2,modifiable_plus_context,10,12,603.5680166666712,735.1231786092164,0.26925677631945955
ExtraTrees,2,modifiable_plus_context,11,13,301.2962538461537,358.2411675046082,0.38430414377692157
ExtraTrees,2,modifiable_plus_context,12,12,612.5071566666684,776.8395275479727,0.36331455440719307
ExtraTrees,2,modifiable_plus_context,13,12,1097.1077233333338,1337.3897116039097,-0.3645578021500866
ExtraTrees,2,modifiable_plus_context,16,7,1285.674142857143,1673.6592215973972,-1.2350745522236015
ExtraTrees,2,modifiable_plus_context,17,7,457.2960028571402,525.6430121482748,-1.6788136157610847
ExtraTrees,2,modifiable_plus_context,2,7,1056.693017142845,1126.2610942443744,-0.2582888349658212
ExtraTrees,2,modifiable_plus_context,4,16,713.1793949999973,823.0046900834446,0.030172900723633655
ExtraTrees,2,modifiable_plus_context,5,30,769.2927853333302,949.7134254430445,0.11490660556009702
ExtraTrees,2,modifiable_plus_context,6,7,235.75738571428397,306.6929749421873,-0.5322065614757219
ExtraTrees,2,modifiable_plus_context,8,8,513.8025549999904,672.5430741199689,0.6493113728504929
ExtraTrees,2,modifiable_plus_context,9,14,1994.4812,2372.7884116761497,-0.6672182514369913
ExtraTrees,3,modifiable_plus_context,1,15,881.119168889381,1009.229418314584,-2.496288383874152
ExtraTrees,3,modifiable_plus_context,10,12,716.4977903440994,794.2011805035871,0.14708525878095313
ExtraTrees,3,modifiable_plus_context,11,13,293.796417247009,354.9383644228916,0.39560462138796726
ExtraTrees,3,modifiable_plus_context,12,12,712.9752385956759,888.126739906795,0.16782975447143256
ExtraTrees,3,modifiable_plus_context,13,12,1052.5773656109895,1167.890857935357,-0.04059203865361205
ExtraTrees,3,modifiable_plus_context,16,7,996.7552105053702,1287.0007204104465,-0.32164715174753256
ExtraTrees,3,modifiable_plus_context,17,7,333.0206393333406,377.4697008686457,-0.3814173332129458
